Category,Part #,Description,"Vendor 
Item #",Vendor,Location,UOM,Quantity,Notes
Roll Stock,PDS-0001,FORMING 3 MB 110M / 422 4.28 Mil,NS3Q44-0422-3F,WINPAK,,,,
Roll Stock,PDS-0002,FORMING 3 MB 175M / 422 7 Mil,NS3Q47-0422-3F,WINPAK,,RL,,
Roll Stock,PDS-0003,FORMING 3 MB 225M / 422 H 9 Mil,NS3Q49-0422-3F,WINPAK,,RL,,
Roll Stock,PDS-0004,REFORM 150EV/542 ,NO3UE6-1562902,WINPAK,,,,
Roll Stock,PDS-0005,REFORM 275EV/542 ,,WINPAK,,RL,,
Roll Stock,PDS-0007,CLEAR TOP FILM 3 ESEVE 1250 L35 / 415,NS3K39-0415-3,WINPAK,,,,
Roll Stock,PDS-0008,BLACK ESEVE 1275 Z12BK / 415,N03W72-1562901,WINPAK,,RL,,
Roll Stock,PDS-0010,500g TWIN FARMER RELAM 2575 EVZ22/415,3926262,WINPAK,,RL,,
Roll Stock,PDS-0011,500g TWIN FARMER RELAM 2575 EVZ22/415,3926262,WINPAK,,RL,,
Roll Stock,PDS-0013,500g MINI FARMER RELAM 2575 EVZ22/415,3926258,WINPAK,,RL,,
Roll Stock,PDS-0014,500g HG MINI FARMER ESEVE 1275 Z17 / 415,N04W22-156292M,WINPAK,,RL,,
Roll Stock,PDS-0016,500g SLICES FARMER RELAM 2575 EVZ22/415,3926265,WINPAK,,RL,,
Roll Stock,PDS-0017,500g SLICES FARMER RELAM 2575 EVZ22/415,3926265,WINPAK,,RL,,
Roll Stock,PDS-0018,500g MILD ITALIAN FARMER  1275/Z17/415,N04W22/156292C,WINPAK,,RL,,
Roll Stock,PDS-0019,NN FARMER 1KG,N04W22/156292F,WINPAK,,RL,,
Roll Stock,PDS-0021,450g BREAKFAST SAUSAGE RELAM 2575 EVZ22/415,3928309,WINPAK,,RL,,
Roll Stock,PDS-0129,RELAM 2575 EVZ22/535 6MIL FORMING (RTE SIDE),NO3FK5-1562902,WINPAK,,RL,,
Roll Stock,PDS-0130,ASIAN-STYLE SMOKIES - TOP FILM,101275790,SEALED AIR,,ROLL,,
Roll Stock,PDS-0131,"SEALED AIR 6 MIL FORMING, 542mmx457mm",101197028,SEALED AIR,,ROLL,,
Printed Bags,PDS-0024,DIAMOND DOG LIL LEAGUE (w. Vinegar),GSB3386P,WINPAK,,CS,,
Plain Bags,PDS-0026,SHRINK- 12X22 RBS L CLEAR BAG,GSBB92-S00063,WINPAK,,CS,,
Plain Bags,PDS-0027,SHRINK 14X26   ,GSBB92-S00142,WINPAK,,CS,,
Plain Bags,PDS-0028,SHRINK- 190 x 280 SSS L CLEAR BAG     (7.5x11),GSBB92-S00349,WINPAK,,CS,,
Plain Bags,PDS-0029,SHRINK- 215 X 550 SBS L CLEAR BAG (8.5X22),GSBB80-S00057,WINPAK,,CS,,
Plain Bags,PDS-0031,SHRINK- 7.5X14 SSS L CLEAR BAG (family),GSBB92-S00387,WINPAK,,CS,,
Plain Bags,PDS-0032,SHRINK-125 x 375 - SSS L CLEAR BAG (5x15),GSBB92-S00044,WINPAK,,CS,,
Plain Bags,PDS-0033,SHRINK-HIGH ABUSE 13x19,GSBHA1-S00078,WINPAK,,CS,,
Plain Bags,PDS-0034,7X11 COARSE RM RBS OLD FASH. ,GSPRM2-31167101,WINPAK,,CS,,
Labels,PDS-0037,BEST BEFORE STICKERS ,165935694/400001665,Lowry,,RL,,
Labels,PDS-0038,PRODUCTION DATE LABELS,400001666,LOWRY / GLENWOOD LABEL & BOX,,,,
Labels,PDS-0039,W.M. TAPE 48MMX66M - CLEAR - legend only,400000259,LOWRY,,,,
Labels,PDS-0040,W.M.TAPE 48MMX914M - CLEAR - legend only,400000260,LOWRY,,,,
Labels,PDS-0041,PACKAGING TAPE 48MMX100M-CLEAR,400001714,LOWRY,,ROLLS,,
Labels,PDS-0042,BEER STICKS,63278004682,LABELS UNLIMITED,,RL,,
Labels,PDS-0043,BOMBER DOG NEW 1 LABEL,BLB-RC-65BOPP,PAL,,EA,,
Labels,PDS-0044,CANADIAN BACK BACON (BACK),,PAL / LABELS UNLIMITED,,RL,,
Labels,PDS-0045,CANADIAN BACK BACON (FRONT),,PAL / LABELS UNLIMITED,,RL,,
Labels,PDS-0046,COOP 2-BONE FRENCHED RACK,WINME-D-03,JET LABEL,,EA,,
Labels,PDS-0047,COOP 5-BONE FRENCHED RACK,57559/WINME-D-02,JET LABEL,,RL,,
Labels,PDS-0048,COOP PORK BELLY,WINME-D-13,JET LABEL,,RL,,
Labels,PDS-0049,COOP CAPICOLA/SHOULDER,57561/WINME-D-10,JET LABEL (ID Technology),,RL,,
Labels,PDS-0050,COOP CHORIZO-BACK ,WINME-D-23,JET LABEL(ID Technology),,RL,,
Labels,PDS-0051,COOP CHORIZO-FRONT ,WINME-D-22,JET LABEL(ID Technology),,RL,,
Labels,PDS-0052,COOP FARMER SAUSAGE (BACK) - MENNONITE,WINME-D-25/D-08/D-33,JET LABEL,,RL,,
Labels,PDS-0053,COOP FARMER SAUSAGE (FRONT) - MENNONITE,WINME-D-24/D-07/D-32,JET LABEL,,RL,,
Labels,PDS-0054,CO-OP MENNONITE ONION & GARLIC (FRONT),WINME-D-26/D-34,ID TECHNOLOGY,,RL,,
Labels,PDS-0055,CO-OP MENNONITE ONION & GARLIC (BACK),WINME-D-27/D-35,ID TECHNOLOGY,,RL,,
Labels,PDS-0056,CO-OP HONEY CHIPOTLE PORK (FRONT),WINME-D-29,ID TECHNOLOGY,,EA,,
Labels,PDS-0057,CO-OP HONEY CHIPOTLE PORK (BACK),WINME-D-31,ID TECHNOLOGY,,EA,,
Labels,PDS-0058,"PVDC SHRINK BAG 180mm X 300mm (7"" X 12"")",20601700,UNIPAC,,CS,,
Labels,PDS-0060,COOP RIB-HALF,57562/WINME-D-09,JET LABEL,,RL,,
Labels,PDS-0061,COOP BONE-IN SHANKLESS HAM,WINME-D-15,JET LABEL,,RL,,
Labels,PDS-0062,COOP SIDE RIBS,57560/WINME-D-01,JET LABEL,,RL,,
Labels,PDS-0063,COOP SIRLOIN,WINME-D-14,JET LABEL,,RL,,
Labels,PDS-0064,COOP TENDERLOIN,57564/WINME-D-12,JET LABEL,,RL,,
Labels,PDS-0065,COOP MAPLE BLUEBERRY PORK BANGER - FRONT,WINME-D-16,JET LABEL,,EA,,
Labels,PDS-0066,COOP MAPLE BLUEBERRY PORK BANGER - BACK,WINME-D-20,JET LABEL,,EA,,
Labels,PDS-0067,COOP CHEDDAR PORK BANGER - FRONT 3.250X6.500,WINME-D-18,JET LABEL,,RL,,
Labels,PDS-0068,COOP CHEDDAR PORK BANGER - BACK 6.500X8.500,WINME-D-17/ D 30,JET LABEL,,RL,,
Labels,PDS-0069,COOP ORIGINAL PORK BANGER - FRONT,WINME-D-19,JET LABEL,,RL,,
Labels,PDS-0070,COOP ORIGINAL PORK BANGER - BACK,WINME-D-21,JET LABEL,,RL,,
